ID;Name_lang;Pos;ContinentID;AreaID;Icon;Importance
1347;Stonehearth Bunker;-160.1699981689453,-454.10699462890625,0;30;0;11;0
1348;Stormpike Aid Station;640.260986328125,-18.666099548339844,0;30;0;15;0
1349;Iceblood Graveyard;-531.3159790039062,-405.5840148925781,0;30;0;13;0
1350;Stonehearth Graveyard;65.98249816894531,-415.572998046875,0;30;0;15;0
1351;Frostwolf Relief Hut;-1415.050048828125,-305.9859924316406,0;30;0;13;0
1352;Dun Baldar North Bunker;678.0759887695312,-137.3780059814453,0;30;-1;55;0
1353;Dun Baldar North Bunker;678.43701171875,-137.09500122070312,0;30;0;9;0
1354;Dun Baldar North Bunker;678.3709716796875,-137.13999938964844,0;30;0;12;0
1355;Dun Baldar South Bunker;557.8579711914062,-88.13939666748047,0;30;-1;55;0
1356;Dun Baldar South Bunker;557.8489990234375,-88.28269958496094,0;30;0;9;0
1357;Dun Baldar South Bunker;557.7520141601562,-88.24320220947266,0;30;0;12;0
1358;Coldtooth Mine;-948.3090209960938,-193.28599548339844,0;30;0;3;0
1359;Coldtooth Mine;-948.5419921875,-193.07899475097656,0;30;0;1;0
1362;East Frostwolf Tower;-1301.219970703125,-306.5639953613281,0;30;-1;55;0
1363;East Frostwolf Tower;-1301.4000244140625,-307.1960144042969,0;30;-1;9;0
1364;East Frostwolf Tower;-1301.469970703125,-307.2409973144531,0;30;-1;12;0
1368;Frostwolf Graveyard;-1083.5400390625,-307.4330139160156,0;30;0;15;0
1369;Frostwolf Graveyard;-1083.489990234375,-307.61700439453125,0;30;-1;4;0
1370;Frostwolf Graveyard;-1083.6700439453125,-307.4360046386719,0;30;0;14;0
1371;Frostwolf Relief Hut;-1414.9300537109375,-305.60198974609375,0;30;0;15;0
1372;Frostwolf Relief Hut;-1414.7900390625,-306.01800537109375,0;30;0;14;0
1373;Frostwolf Relief Hut;-1414.8900146484375,-306.0559997558594,0;30;0;4;0
1374;Iceblood Graveyard;-531.343994140625,-405.27301025390625,0;30;0;15;0
1375;Iceblood Graveyard;-531.4019775390625,-405.32598876953125,0;30;0;4;0
1376;Iceblood Graveyard;-531.4249877929688,-405.32598876953125,0;30;0;14;0
1377;Iceblood Tower;-560.2999877929688,-271.4389953613281,0;30;-1;55;0
1378;Iceblood Tower;-560.260986328125,-271.52801513671875,0;30;-1;12;0
1379;Iceblood Tower;-560.3759765625,-271.281005859375,0;30;-1;9;0
1380;Icewing Bunker;209.1009979248047,-367.8370056152344,0;30;-1;55;0
1381;Icewing Bunker;208.78500366210938,-367.93798828125,0;30;0;9;0
1382;Icewing Bunker;209.0229949951172,-368.03399658203125,0;30;0;12;0
1383;Irondeep Mine;801.6610107421875,-330.0150146484375,0;30;0;2;0
1384;Irondeep Mine;801.4099731445312,-330.12799072265625,0;30;0;1;0
1386;Snowfall Graveyard;-202.96299743652344,-112.57499694824219,0;30;0;15;0
1387;Snowfall Graveyard;-203.1529998779297,-112.58699798583984,0;30;0;14;0
1388;Snowfall Graveyard;-203.08999633789062,-112.5979995727539,0;30;0;4;0
1389;Stonehearth Bunker;-160.26400756835938,-454.197998046875,0;30;-1;55;0
1390;Stonehearth Bunker;-160.16900634765625,-454.07598876953125,0;30;0;9;0
1391;Stonehearth Bunker;-160.4029998779297,-454.1830139160156,0;30;0;12;0
1392;Stonehearth Graveyard;65.91490173339844,-415.56201171875,0;30;0;13;0
1393;Stonehearth Graveyard;65.89070129394531,-415.5509948730469,0;30;0;4;0
1394;Stonehearth Graveyard;65.88890075683594,-415.6159973144531,0;30;0;14;0
1395;Stormpike Aid Station;641.5009765625,-17.399700164794922,0;30;0;13;0
1396;Stormpike Aid Station;640.9080200195312,-18.18670082092285,0;30;0;4;0
1397;Stormpike Aid Station;640.698974609375,-18.107799530029297,0;30;0;14;0
1398;Stormpike Graveyard;666.6420288085938,-305.5419921875,0;30;0;13;0
1399;Stormpike Graveyard;666.698974609375,-305.5329895019531,0;30;0;4;0
1400;Stormpike Graveyard;666.5709838867188,-305.4320068359375,0;30;0;14;0
1405;Tower Point;-759.1859741210938,-348.19000244140625,0;30;-1;55;0
1406;Tower Point;-759.1409912109375,-348.1199951171875,0;30;-1;12;0
1407;Tower Point;-759.2659912109375,-348.04400634765625,0;30;-1;9;0
1469;Camp Taurajo;-2352.659912109375,-1921.6700439453125,0;1;-1;4;3
1471;Splintertree Post;2286.409912109375,-2564.669921875,0;1;-1;4;3
1472;The Swarming Pillar;-7066.7900390625,731.8519897460938,0;1;3425;6;0
1473;Bones of Grakkarond;-7234.60986328125,874.2239990234375,0;1;3425;6;0
1475;Woodpaw Den;-4835.2001953125,863.0479736328125,0;1;1101;6;0
1507;Revantusk Village;-573.458984375,-4590.509765625,0;0;307;4;0
1508;Thorium Point;-6513.68017578125,-1142.760009765625,0;0;1442;6;0
1512;Mor'shan Base Camp;1035.1300048828125,-2113.340087890625,0;1;1703;6;0
1513;Silverwing Grove;1462.47998046875,-1858.9300537109375,0;1;422;6;0
1527;West Frostwolf Tower;-1297.9000244140625,-266.6130065917969,0;30;-1;10;0
1528;West Frostwolf Tower;-1297.9200439453125,-266.6289978027344,0;30;-1;55;0
1529;West Frostwolf Tower;-1298.02001953125,-266.50799560546875,0;30;-1;12;0
1530;West Frostwolf Tower;-1298.0899658203125,-266.7019958496094,0;30;-1;9;0
1551;The Weeping Cave;2249.610107421875,-2389.6298828125,0;0;198;6;0
1567;Valor's Rest;-6404.330078125,-292.6470031738281,0;1;2738;6;0
1568;Wildpaw Cavern;-1436.0999755859375,-455.6510009765625,0;30;2978;6;0
1569;Icewing Cavern;276.0559997558594,61.15169906616211,0;30;2959;6;0
1588;Yojamba Isle;-11874.599609375,1250.72998046875,0;0;-1;6;0
1609;Stables;1180.9200439453125,1185.77001953125,0;529;-1;36;0
1610;Stables;1181.56005859375,1185.5799560546875,0;529;-1;38;0
1611;Stables;1181.56005859375,1185.739990234375,0;529;-1;40;0
1612;Stables;1181.510009765625,1185.6500244140625,0;529;-1;37;0
1613;Stables;1181.5400390625,1185.5999755859375,0;529;-1;39;0
1614;Blacksmith;988.9329833984375,1012.5700073242188,0;529;-1;26;0
1615;Blacksmith;988.697021484375,1012.5800170898438,0;529;-1;28;0
1616;Blacksmith;988.93701171875,1012.3400268554688,0;529;-1;30;0
1617;Blacksmith;988.9400024414062,1012.1099853515625,0;529;-1;27;0
1618;Blacksmith;988.6929931640625,1012.8099975585938,0;529;-1;29;0
1619;Lumber Mill;813.0670166015625,1182.0899658203125,0;529;-1;21;0
1620;Lumber Mill;813.072998046875,1182.0699462890625,0;529;-1;23;0
1621;Lumber Mill;812.7470092773438,1182.1300048828125,0;529;-1;25;0
1622;Lumber Mill;812.7050170898438,1182.260009765625,0;529;-1;22;0
1623;Lumber Mill;812.7150268554688,1182.260009765625,0;529;-1;24;0
1624;Gold Mine;1178.219970703125,822.5089721679688,0;529;-1;16;0
1625;Gold Mine;1177.989990234375,822.8829956054688,0;529;-1;18;0
1626;Gold Mine;1178.3499755859375,822.8800048828125,0;529;-1;20;0
1627;Gold Mine;1178.0699462890625,822.8469848632812,0;529;-1;17;0
1628;Gold Mine;1178.1500244140625,822.6240234375,0;529;-1;19;0
1629;Farm;824.2620239257812,826.3499755859375,0;529;-1;31;0
1630;Farm;824.010986328125,826.5460205078125,0;529;-1;33;0
1631;Farm;823.875,826.5570068359375,0;529;-1;35;0
1632;Farm;824.0150146484375,826.6959838867188,0;529;-1;32;0
1633;Farm;823.875,826.4180297851562,0;529;-1;34;0
1682;Snowfall Graveyard;-202.9320068359375,-112.71600341796875,0;30;-1;8;0
1683;Misty Reed Post;-10854.7998046875,-4093.429931640625,0;0;300;6;0
1684;Brackenwall Village;-3132.97998046875,-2880.7099609375,0;1;496;15;0
1685;Cenarion Hold;-6886.14990234375,718.3980102539062,0;1;3425;4;3
1687;Twilight Base Camp;-6996.14990234375,1195.010009765625,0;1;2739;6;0
1688;Staghelm Point;-6517.490234375,97.5553970336914,0;1;3426;6;0
1689;Twilight's Run;-6310.14013671875,136.59100341796875,0;1;3426;6;0
1690;Ortell's Hideout;-7586.169921875,226.39599609375,0;1;2744;6;0
1694;Bronzebeard Encampment;-8021.759765625,1105.8399658203125,0;1;3427;6;0
1696;Under Attack;6519.56982421875,-4117.10009765625,0;1;-1;41;3
1697;Under Attack;3366.7900390625,-6226.81005859375,0;1;-1;41;3
1698;Under Attack;-11456.900390625,-2981.409912109375,0;0;-1;41;3
1699;Under Attack;-7741.18994140625,-2722.2099609375,0;0;-1;41;3
1700;Under Attack;-8277.1201171875,-3484.090087890625,0;1;-1;41;3
1701;Under Attack;2414.5,-3919.260009765625,0;0;-1;41;3
1702;Ivar's Patch;1233.050048828125,1214.280029296875,0;0;-1;6;0
1703;Valgan's Field;908.7540283203125,1255.6300048828125,0;0;227;6;0
1724;Sandworm!;-6548.72021484375,1150.510009765625,0;1;-1;42;0
1725;Sandworm!;-7786.009765625,978.8150024414062,0;1;-1;42;0
1726;Sandworm!;-7463.2998046875,1411.699951171875,0;1;-1;42;0
1727;Sandworm!;-7377.080078125,447.0459899902344,0;1;-1;42;0
1749;Eastwall Tower;2562.300048828125,-4796.9599609375,0;0;-1;6;0
1750;Eastwall Tower;2562.070068359375,-4797.240234375,0;0;139;9;0
1751;Eastwall Tower;2562.14990234375,-4797.25,0;0;139;9;0
1752;Eastwall Tower;2561.739990234375,-4797.14013671875,0;0;139;12;0
1753;Eastwall Tower;2561.909912109375,-4797.31982421875,0;0;139;12;0
1754;Eastwall Tower;2561.9599609375,-4796.83984375,0;0;139;10;0
1755;Eastwall Tower;2562.030029296875,-4797.02001953125,0;0;139;11;0
1756;Plaguewood Tower;2967.530029296875,-3034.3701171875,0;0;139;6;0
1757;Plaguewood Tower;2967.530029296875,-3034.2900390625,0;0;139;9;0
1759;Plaguewood Tower;2967.110107421875,-3034.1298828125,0;0;139;12;0
1760;Plaguewood Tower;2972.889892578125,-3034.52001953125,0;0;139;12;0
1761;Plaguewood Tower;2966.68994140625,-3033.860107421875,0;0;139;11;0
1762;Plaguewood Tower;2966.719970703125,-3034.010009765625,0;0;139;10;0
1763;Northpass Tower;3170.260009765625,-4376.4501953125,0;0;139;6;0
1764;Northpass Tower;3169.989990234375,-4376.52978515625,0;0;139;9;0
1765;Northpass Tower;3169.64990234375,-4376.6201171875,0;0;139;12;0
1766;Northpass Tower;3169.8798828125,-4376.3798828125,0;0;139;9;0
1767;Northpass Tower;3169.820068359375,-4376.169921875,0;0;139;12;0
1768;Northpass Tower;3169.139892578125,-4376.6201171875,0;0;139;11;0
1769;Northpass Tower;3168.739990234375,-4376.3701171875,0;0;139;10;0
1770;Crown Guard Tower;1853.47998046875,-3723.239990234375,0;0;139;6;0
1771;Crown Guard Tower;1853.3499755859375,-3723.330078125,0;0;139;9;0
1772;Crown Guard Tower;1853.4100341796875,-3723.260009765625,0;0;139;12;0
1773;Crown Guard Tower;1853.1300048828125,-3723.43994140625,0;0;139;9;0
1774;Crown Guard Tower;1853.5400390625,-3723.489990234375,0;0;139;12;0
1775;Crown Guard Tower;1853.469970703125,-3723.3798828125,0;0;139;11;0
1776;Crown Guard Tower;1853.510009765625,-3723.469970703125,0;0;139;10;0
1777;Plaguewood Tower;2967.449951171875,-3034.8701171875,0;0;139;9;0
7640;Alliance Runestone Base;3599.77001953125,57.81999969482422,36.04790115356445;1;-1;33;0
7641;Alliance Glaive Base;2566.510009765625,-1229.8699951171875,160.6540069580078;1;-1;33;0
7642;Alliance Research Device Base;1843.6300048828125,-2536.5400390625,104.34400177001953;1;-1;33;0
7643;Alliance Headquarters - Moonwell;1942.9000244140625,-1774.010009765625,84.22989654541016;1;-1;18;0
7644;Horde Shredder Base;3243.18994140625,492.92401123046875,18.417600631713867;1;-1;25;0
7645;Horde Headquarters - Bonfire;2061.47998046875,-559.18701171875,116.375;1;-1;30;0
7646;Horde Catapult Base;2566.320068359375,-1443.77001953125,158.24200439453125;1;-1;25;0
7647;Horde Lumber Camp Base;2250.050048828125,-2325.5,118.30899810791016;1;-1;25;0
7648;Horde Shredder Base;3243.18994140625,492.92401123046875,18.417600631713867;1;-1;21;0
7649;Horde Catapult Base;2566.320068359375,-1443.77001953125,158.24200439453125;1;-1;21;0
7650;Horde Lumber Camp Base;2250.050048828125,-2325.5,118.30899810791016;1;-1;21;0
7651;Alliance Runestone Base;3599.77001953125,57.81999969482422,36.04790115356445;1;-1;31;0
7652;Alliance Glaive Base;2566.510009765625,-1229.8699951171875,160.6540069580078;1;-1;31;0
7653;Alliance Research Device Base;1843.6300048828125,-2536.5400390625,104.34400177001953;1;-1;31;0
