ID;UiMin;UiMax;Region;UiMapID;OrderIndex;MapID;AreaID
46746;0,0;1,1;-11733.3330078125,-483.33331298828125,-1000000,-9400,3016.66650390625,1000000;1436;0;0;40
46747;0,0;1,1;-4904.16650390625,-4525,-1000000,-2147.91650390625,-389.58331298828125,1000000;1437;0;0;11
46748;0,0;1,1;8437.5,-1277.083251953125,-1000000,11831.25,3814.583251953125,1000000;1438;0;1;141
46749;0,0;1,1;3966.66650390625,-3608.333251953125,-1000000,8333.3330078125,2941.66650390625,1000000;1439;0;1;148
46750;0,0;1,1;829.1666259765625,-4066.66650390625,-1000000,4672.91650390625,1699.9998779296875,1000000;1440;0;1;331
46751;0,0;1,1;-6899.99951171875,-4833.3330078125,-1000000,-3966.66650390625,-433.33331298828125,1000000;1441;0;1;400
46752;0,0;1,1;-339.58331298828125,-1637.4998779296875,-1000000,2916.66650390625,3245.833251953125,1000000;1442;0;1;406
46753;0,0;1,1;-2545.833251953125,-262.5,-1000000,452.08331298828125,4233.3330078125,1000000;1443;0;1;405
46754;0,0;1,1;-6999.99951171875,-1508.333251953125,-1000000,-2366.66650390625,5441.66650390625,1000000;1444;0;1;357
46755;0,0;1,1;-5533.3330078125,-6225,-1000000,-2033.333251953125,-974.9999389648438,1000000;1445;0;1;15
46756;0,0;1,1;-10475,-7118.74951171875,-1000000,-5875,-218.74998474121094,1000000;1446;0;1;440
46757;0,0;1,1;1960.4166259765625,-8347.916015625,-1000000,5341.66650390625,-3277.083251953125,1000000;1447;0;1;16
46758;0,0;1,1;3299.999755859375,-4108.3330078125,-1000000,7133.3330078125,1641.6666259765625,1000000;1448;0;1;361
46759;0,0;1,1;-8433.3330078125,-3166.66650390625,-1000000,-5966.66650390625,533.3333129882812,1000000;1449;0;1;490
46760;0,0;1,1;6952.0830078125,-3689.583251953125,-1000000,8491.666015625,-1381.25,1000000;1450;0;1;493
46761;0,0;1,1;-8281.25,-945.833984375,-1000000,-5958.333984375,2537.5,1000000;1451;0;1;1377
46762;0,0;1,1;3799.999755859375,-7416.66650390625,-1000000,8533.3330078125,-316.6666564941406,1000000;1452;0;1;618
46763;0,0;1,1;-9154.169921875,-14.583999633789062,-1000000,-7995.830078125,1722.9200439453125,1000000;1453;0;0;1519
46764;0,0;1,1;1338.4605712890625,-5083.20556640625,-1000000,2273.877197265625,-3680.60107421875,1000000;1454;0;1;1637
46765;0,0;1,1;-5096.845703125,-1504.2164306640625,-1000000,-4569.2412109375,-713.5913696289062,1000000;1455;0;0;1537
46766;0,0;1,1;-1545.833251953125,-527.0833129882812,-1000000,-849.9999389648438,516.6666259765625,1000000;1456;0;1;1638
46767;0,0;1,1;9532.5869140625,1880.029541015625,-1000000,10238.31640625,2938.36279296875,1000000;1457;0;1;1657
46768;0,0;1,1;1237.8411865234375,-86.18240356445312,-1000000,1877.9453125,873.192626953125,1000000;1458;0;0;1497
46769;0,0;1,1;-1739.583251953125,-2456.25,-1000000,1085.4166259765625,1781.2498779296875,1000000;1459;0;30;2597
46770;0,0;1,1;862.4999389648438,895.8333129882812,-1000000,1627.083251953125,2041.6666259765625,1000000;1460;0;489;3277
46771;0,0;1,1;337.5,102.08332824707031,-1000000,1508.333251953125,1858.333251953125,1000000;1461;0;529;3358
46774;0,0;1,1;-15980,-11880,-1000000,5817,9917,1000000;1463;0;0;0
46775;0,0;1,1;-11870,-13370,-1000000,12470,10970,1000000;1464;0;1;0
46784;0.5504999756813049,0.09939999878406525;0.8966000080108643,0.8690999746322632;-16000,-7466.7001953125,-1000000,6933.2998046875,8000,1000000;947;1;0;0
46785;0.039900001138448715,0.08550000190734863;0.4083000123500824,0.9233999848365784;-12800,-9600,-1000000,12266.7001953125,6933.2998046875,1000000;947;0;1;0
69032;0,0;1,1;3989.5830078125,-4395.833984375,-1000000,6304.166015625,-922.916015625,1000000;2482;0;1;616
69208;0,0;1,1;1247.9169921875,-1331.25,-1000000,4956.25,4231.25,1000000;2521;0;2991;16593
69219;0,0;1,1;-835.416015625,993.75,-1000000,447.916015625,2918.75,1000000;2524;0;2997;16606
69323;0,0;1,1;-9700,-6741.666015625,-1000000,-6466.666015625,-1891.666015625,1000000;2548;0;0;16591
69778;0,0;1,1;-3266.666015625,-25,-1000000,-1900,2025,1000000;2652;0;1;16651
69852;0,0;1,1;1247.9200439453125,-1331.25,-1000000,4956.25,4231.25,1000000;2665;0;2991;0
