ID;Name_lang;Pos;ContinentID;CharacterBitNumber;Flags;MountCreatureID
20;Grom'gol, Stranglethorn;-12414.1796875,146.2899932861328,3.2799999713897705;0;20;2;2224,0
21;Kargath, Badlands;-6633.990234375,-2180.050048828125,244.13999938964844;0;21;2;2224,0
22;Thunder Bluff, Mulgore;-1197.2099609375,29.709999084472656,176.9499969482422;1;22;2;2224,0
23;Orgrimmar, Durotar;1677.5899658203125,-4315.7099609375,61.16999816894531;1;23;2;2224,0
24;Generic, World target for Zeppelin Paths;-6666,-2222.300048828125,278.6000061035156;0;24;0;0,0
25;Crossroads, The Barrens;-441.79998779296875,-2596.080078125,96.05999755859375;1;25;2;2224,0
26;Auberdine, Darkshore;6341.3798828125,557.6799926757812,16.290000915527344;1;26;1;0,3837
27;Rut'theran Village, Teldrassil;8643.58984375,841.0499877929688,23.299999237060547;1;27;1;0,3837
28;Astranaar, Ashenvale;2827.340087890625,-289.239990234375,107.16000366210938;1;28;1;0,3837
29;Sun Rock Retreat, Stonetalon Mountains;966.5700073242188,1040.3199462890625,104.2699966430664;1;29;2;2224,0
30;Freewind Post, Thousand Needles;-5407.7099609375,-2414.300048828125,90.31999969482422;1;30;2;2224,0
31;Thalanaar, Feralas;-4491.8798828125,-775.8900146484375,-39.52000045776367;1;31;1;0,3837
32;Theramore, Dustwallow Marsh;-3825.3701171875,-4516.580078125,10.4399995803833;1;32;1;0,541
33;Stonetalon Peak, Stonetalon Mountains;2681.1298828125,1461.6800537109375,232.8800048828125;1;33;1;0,3837
34;Transport, Booty Bay - Ratchet;-1965.1700439453125,-5824.2900390625,-1.059999942779541;1;0;0;0,0
35;Transport, Orgrimmar Zepplins;1320.0699462890625,-4649.2001953125,21.56999969482422;1;0;0;0,0
36;Generic, World target;-8644.6201171875,433.2799987792969,59.459999084472656;0;0;0;15665,0
37;Nijel's Point, Desolace;139.24000549316406,1325.8199462890625,193.5;1;37;1;0,3837
38;Shadowprey Village, Desolace;-1767.6400146484375,3263.889892578125,4.940000057220459;1;38;2;2224,0
39;Gadgetzan, Tanaris;-7223.97021484375,-3734.590087890625,8.390000343322754;1;39;1;0,541
40;Gadgetzan, Tanaris;-7048.89013671875,-3780.360107421875,10.1899995803833;1;40;2;2224,0
41;Feathermoon, Feralas;-4373.7998046875,3338.64990234375,12.270000457763672;1;41;1;0,3837
42;Camp Mojache, Feralas;-4419.85986328125,199.30999755859375,25.059999465942383;1;42;2;2224,0
43;Aerie Peak, The Hinterlands;283.739990234375,-2002.760009765625,194.74000549316406;0;43;1;0,541
44;Valormok, Azshara;3661.52001953125,-4390.3798828125,113.05000305175781;1;44;2;2224,0
45;Nethergarde Keep, Blasted Lands;-11112.25,-3435.739990234375,79.08999633789062;0;45;1;0,541
46;Southshore Ferry, Hillsbrad;-986.4299926757812,-547.8599853515625,-3.859999895095825;0;0;0;0,0
47;Transport, Grom'gol - Orgrimmar;-12418.76953125,235.42999267578125,1.1200000047683716;0;0;0;0,0
48;Bloodvenom Post, Felwood;5068.39990234375,-337.2200012207031,367.4100036621094;1;48;2;2224,0
49;Moonglade;7458.4501953125,-2487.2099609375,462.3299865722656;1;49;1;0,3837
50;Transport, Menethil Ships;0,0,0;0;0;0;0,0
51;Transport, Rut'theran - Auberdine;0,0,0;0;0;0;0,0
52;Everlook, Winterspring;6799.240234375,-4742.43994140625,701.5;1;52;1;0,3837
53;Everlook, Winterspring;6813.06005859375,-4611.1201171875,710.6699829101562;1;53;2;2224,0
54;Transport, Feathermoon - Feralas;-4203.8701171875,3284,-12.859999656677246;1;0;0;0,0
55;Brackenwall Village, Dustwallow Marsh;-3147.389892578125,-2842.179931640625,34.61000061035156;1;55;2;2224,0
56;Stonard, Swamp of Sorrows;-10456.9697265625,-3279.25,21.350000381469727;0;56;2;2224,0
57;Fishing Village, Teldrassil;8701.509765625,991.3699951171875,14.210000038146973;1;0;0;0,3837
58;Zoram'gar Outpost, Ashenvale;3374.7099609375,996.969970703125,5.190000057220459;1;58;2;2224,0
59;Dun Baldar, Alterac Valley;574.2100219726562,-46.650001525878906,37.61000061035156;30;0;1;0,541
60;Frostwolf Keep, Alterac Valley;-1335.43994140625,-319.69000244140625,90.66000366210938;30;0;2;3574,0
61;Splintertree Post, Ashenvale;2302.389892578125,-2524.550048828125,104.4000015258789;1;61;2;2224,0
62;Nighthaven, Moonglade;7793.60986328125,-2403.469970703125,489.32000732421875;1;0;1;0,3837
63;Nighthaven, Moonglade;7787.72021484375,-2404.10009765625,489.55999755859375;1;0;2;2224,0
64;Talrendis Point, Azshara;2721.989990234375,-3880.639892578125,100.87000274658203;1;64;1;0,3837
65;Talonbranch Glade, Felwood;6205.8798828125,-1949.6300048828125,571.2899780273438;1;65;1;0,3837
66;Chillwind Camp, Western Plaguelands;931.3200073242188,-1430.1099853515625,64.66999816894531;0;66;1;0,541
67;Light's Hope Chapel, Eastern Plaguelands;2271.090087890625,-5340.7998046875,87.11000061035156;0;67;1;0,541
68;Light's Hope Chapel, Eastern Plaguelands;2327.409912109375,-5286.89013671875,81.77999877929688;0;68;2;3574,0
69;Moonglade;7470.39013671875,-2123.3798828125,492.3399963378906;1;69;2;2224,0
70;Flame Crest, Burning Steppes;-7504.02978515625,-2187.5400390625,165.52999877929688;0;70;2;2224,0
71;Morgan's Vigil, Burning Steppes;-8364.6103515625,-2738.35009765625,185.4600067138672;0;71;1;0,541
72;Cenarion Hold, Silithus;-6811.39013671875,836.739990234375,49.810001373291016;1;72;2;2224,0
73;Cenarion Hold, Silithus;-6761.830078125,772.030029296875,88.91000366210938;1;73;1;0,3837
74;Thorium Point, Searing Gorge;-6552.58984375,-1168.27001953125,309.30999755859375;0;74;1;0,541
75;Thorium Point, Searing Gorge;-6554.93017578125,-1100.050048828125,309.57000732421875;0;75;2;2224,0
76;Revantusk Village, The Hinterlands;-635.260009765625,-4720.5,5.380000114440918;0;76;2;2224,0
77;Camp Taurajo, The Barrens;-2380.669921875,-1882.6700439453125,95.8499984741211;1;77;2;2224,0
78;Naxxramas;3133.31005859375,-3399.929931640625,139.52999877929688;0;0;0;0,0
79;Marshal's Refuge, Un'Goro Crater;-6113.81982421875,-1142.699951171875,-187.6300048828125;1;79;3;2224,541
80;Ratchet, The Barrens;-894.5900268554688,-3773.010009765625,11.479999542236328;1;80;3;2224,541
84;Plaguewood Tower, Eastern Plaguelands;2998.7099609375,-3050.10009765625,117.19000244140625;0;0;3;17660,17660
85;Northpass Tower, Eastern Plaguelands;3109.31005859375,-4285.1298828125,109.44999694824219;0;0;3;3574,541
86;Eastwall Tower, Eastern Plaguelands;2499.22998046875,-4742.85009765625,93.5;0;0;3;3574,541
87;Crown Guard Tower, Eastern Plaguelands;1857.56005859375,-3658.469970703125,143.72999572753906;0;0;3;3574,541
2913;Quest Path 9571: S03 - Runecarving - Shaman - Level 40 Quest - 6 - KJA;-5167.2900390625,-2788.510009765625,89.67520141601562;1;0;0;2224,2224
2914;Quest Path 9574: S03 - Runecarving - Shaman - Level 40 Quest - 6 - Flight Back - KJA;-5459.7001953125,-2468.31005859375,89.2760009765625;1;0;0;2224,2224
2930;Quest Path 9620: S03 - Runecarving - Shaman - Level 40 Rune - Corrupted Fire Totem - Tal Taxi Path - KJA;7470.68994140625,-2126.77001953125,492.4150085449219;1;0;0;2224,2224
